Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 02:19:04.3N,99.98%,211.7MiB,1GiB,
2025-07-06 02:19:06.3N,99.54%,212.2MiB,1GiB,
2025-07-06 02:19:08.3N,99.67%,211.7MiB,1GiB,
2025-07-06 02:19:10.3N,99.96%,212MiB,1GiB,
2025-07-06 02:19:12.3N,98.73%,215.9MiB,1GiB,
2025-07-06 02:19:14.3N,98.37%,213.8MiB,1GiB,
2025-07-06 02:19:16.3N,99.06%,213.8MiB,1GiB,
2025-07-06 02:19:18.3N,99.08%,211.6MiB,1GiB,
2025-07-06 02:19:20.3N,99.50%,215.9MiB,1GiB,
2025-07-06 02:19:22.3N,99.60%,217.7MiB,1GiB,
2025-07-06 02:19:24.3N,99.86%,217.7MiB,1GiB,
2025-07-06 02:19:26.3N,99.63%,211.9MiB,1GiB,
2025-07-06 02:19:28.3N,99.85%,211.8MiB,1GiB,
2025-07-06 02:19:30.3N,100.18%,214MiB,1GiB,
2025-07-06 02:19:32.3N,99.02%,215.8MiB,1GiB,
2025-07-06 02:19:34.3N,99.90%,213.8MiB,1GiB,
2025-07-06 02:19:36.3N,99.80%,211.7MiB,1GiB,
2025-07-06 02:19:38.3N,99.87%,215.6MiB,1GiB,
2025-07-06 02:19:40.3N,99.34%,217.8MiB,1GiB,
2025-07-06 02:19:42.3N,99.95%,218.7MiB,1GiB,
2025-07-06 02:19:44.3N,99.20%,213.6MiB,1GiB,
2025-07-06 02:19:46.3N,100.16%,213.9MiB,1GiB,
2025-07-06 02:19:48.3N,100.33%,215.8MiB,1GiB,
2025-07-06 02:19:50.3N,99.78%,216MiB,1GiB,
2025-07-06 02:19:52.3N,99.40%,213.7MiB,1GiB,
2025-07-06 02:19:54.3N,100.16%,216MiB,1GiB,
2025-07-06 02:19:56.3N,99.71%,215.7MiB,1GiB,
2025-07-06 02:19:58.3N,100.01%,217.9MiB,1GiB,
2025-07-06 02:20:00.3N,100.00%,216.8MiB,1GiB,
2025-07-06 02:20:02.3N,99.62%,218.8MiB,1GiB,
2025-07-06 02:20:04.3N,99.35%,218.9MiB,1GiB,
2025-07-06 02:20:06.3N,99.36%,221.2MiB,1GiB,
2025-07-06 02:20:08.3N,99.68%,219.5MiB,1GiB,
2025-07-06 02:20:10.3N,99.92%,218.8MiB,1GiB,
2025-07-06 02:20:12.3N,99.97%,221MiB,1GiB,
2025-07-06 02:20:14.3N,99.68%,225.1MiB,1GiB,
2025-07-06 02:20:16.3N,99.09%,222.8MiB,1GiB,
2025-07-06 02:20:18.3N,99.60%,224.8MiB,1GiB,
2025-07-06 02:20:20.3N,100.06%,224.9MiB,1GiB,
2025-07-06 02:20:22.3N,100.03%,222.7MiB,1GiB,
2025-07-06 02:20:24.3N,99.69%,222.7MiB,1GiB,
2025-07-06 02:20:26.3N,99.89%,226.8MiB,1GiB,
2025-07-06 02:20:28.3N,98.87%,226.8MiB,1GiB,
2025-07-06 02:20:30.3N,100.16%,226.8MiB,1GiB,
2025-07-06 02:20:32.3N,99.58%,226.7MiB,1GiB,
2025-07-06 02:20:34.3N,99.85%,226.9MiB,1GiB,
2025-07-06 02:20:36.3N,100.23%,222.9MiB,1GiB,
2025-07-06 02:20:38.3N,100.24%,227.2MiB,1GiB,
2025-07-06 02:20:40.3N,100.33%,227.1MiB,1GiB,
2025-07-06 02:20:42.3N,99.09%,228.7MiB,1GiB,
2025-07-06 02:20:44.3N,100.40%,230.7MiB,1GiB,
2025-07-06 02:20:46.3N,99.99%,230.9MiB,1GiB,
2025-07-06 02:20:48.3N,99.99%,229MiB,1GiB,
2025-07-06 02:20:50.3N,99.49%,230.7MiB,1GiB,
2025-07-06 02:20:52.3N,99.92%,223.8MiB,1GiB,
2025-07-06 02:20:54.3N,99.67%,225.5MiB,1GiB,
2025-07-06 02:20:56.3N,99.28%,228MiB,1GiB,
2025-07-06 02:20:58.3N,98.86%,229.5MiB,1GiB,
2025-07-06 02:21:00.3N,98.82%,231.5MiB,1GiB,
2025-07-06 02:21:02.3N,99.92%,233.7MiB,1GiB,
2025-07-06 02:21:04.3N,100.35%,231.6MiB,1GiB,
2025-07-06 02:21:06.3N,100.33%,229.6MiB,1GiB,
2025-07-06 02:21:08.3N,99.89%,233.6MiB,1GiB,
2025-07-06 02:21:11.3N,99.97%,233.4MiB,1GiB,
2025-07-06 02:21:13.3N,100.01%,235.6MiB,1GiB,
2025-07-06 02:21:15.3N,99.76%,235.4MiB,1GiB,
2025-07-06 02:21:17.3N,100.02%,229.3MiB,1GiB,
2025-07-06 02:21:19.3N,100.06%,233.5MiB,1GiB,
2025-07-06 02:21:21.3N,100.30%,233.1MiB,1GiB,
2025-07-06 02:21:23.3N,98.90%,237.7MiB,1GiB,
2025-07-06 02:21:25.3N,100.17%,237.2MiB,1GiB,
2025-07-06 02:21:27.3N,100.25%,240.2MiB,1GiB,
2025-07-06 02:21:29.3N,98.01%,235.1MiB,1GiB,
2025-07-06 02:21:31.3N,100.53%,237.1MiB,1GiB,
2025-07-06 02:21:33.3N,99.17%,239.1MiB,1GiB,
2025-07-06 02:21:35.3N,99.54%,241.1MiB,1GiB,
2025-07-06 02:21:37.3N,99.53%,243.1MiB,1GiB,
